ANT1	19.96	13.38	270.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1-EP-DR	-11.49	-8.27	0.00	10uF	NORDIC_NRF_3_RESC0402_M
C10	0.16	-10.55	180.00	GRM011R60J152KE01L_1_GRM011R60J152KE01L	GRM011R60J152KE01L_1_0201
C11	8.48	-10.74	270.00	GRM011R60J152KE01L_1_GRM011R60J152KE01L	GRM011R60J152KE01L_1_0201
C12	3.94	6.10	90.00	100pF	NORDIC_NRF_3_RESC0402_M
C13	2.40	6.85	90.00	N.C	NORDIC_NRF_3_RESC0402_M
C15	4.46	10.13	0.00	1uF	NORDIC_NRF_3_RESC0402_M
C16	4.49	8.50	0.00	47nF	NORDIC_NRF_3_RESC0402_M
C17	-6.76	7.13	0.00	12pF	NORDIC_NRF_3_RESC0402_M
C18	-6.59	0.45	180.00	12pF	NORDIC_NRF_3_RESC0402_M
C2	-0.96	-6.79	270.00	GRM011R60J152KE01L_1_GRM011R60J152KE01L	GRM011R60J152KE01L_1_0201
C2-EP-DR	14.20	-7.15	270.00	4.7uF/25V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20	-4.80	-5.25	0.00	4.7uF	NORDIC_NRF_3_RESC0402_M
C21	-1.85	-5.25	180.00	4.7uF	NORDIC_NRF_3_RESC0402_M
C23	21.75	8.90	270.00	0.1uF	NORDIC_NRF_3_RESC0402_M
C24	21.09	6.40	0.00	10uF	NORDIC_NRF_3_RESC0402_M
C25	14.71	9.00	180.00	22uF	NORDIC_NRF_3_RESC0402_M
C3	17.83	-4.05	0.00	1uF	GRM011R60J152KE01L_1_0201
C33	14.76	7.26	180.00	22uF	NORDIC_NRF_3_RESC0402_M
C37	17.80	1.19	90.00	1uF	NORDIC_NRF_3_RESC0402_M
C38	20.10	-3.51	270.00	1uF	NORDIC_NRF_3_RESC0402_M
C39	17.90	-1.89	270.00	10uF	NORDIC_NRF_3_RESC0402_M
C4	18.35	-7.39	270.00	0.1uF	GRM011R60J152KE01L_1_0201
C42	9.37	10.92	180.00	GRM011R60J152KE01L_1_GRM011R60J152KE01L	GRM011R60J152KE01L_1_0201
C43	10.45	8.85	270.00	4.7uF	NORDIC_NRF_3_RESC0402_M
C5	-10.88	-10.65	90.00	GRM011R60J152KE01L_1_GRM011R60J152KE01L	GRM011R60J152KE01L_1_0201
C6	-6.55	-2.15	0.00	4.7uF	NORDIC_NRF_3_RESC0402_M
C7	1.15	-5.05	180.00	100nF	NORDIC_NRF_3_RESC0402_M
C8	5.90	-4.25	0.00	100nF	NORDIC_NRF_3_RESC0402_M
C9	5.29	-1.68	270.00	820pF	NORDIC_NRF_3_RESC0402_M
CC1	8.84	0.83	0.00	12pF	NORDIC_NRF_3_RESC0402_M
CC10	7.75	6.50	90.00	N.C	NORDIC_NRF_3_RESC0402_M
CC11	5.92	6.30	90.00	100pF	NORDIC_NRF_3_RESC0402_M
CC14	-1.25	7.25	270.00	4.7uF	NORDIC_NRF_3_RESC0402_M
CC19	-6.69	8.83	180.00	100nF	NORDIC_NRF_3_RESC0402_M
CC2	10.42	6.34	0.00	12pF	NORDIC_NRF_3_RESC0402_M
CC22	10.75	-1.75	90.00	N.C	NORDIC_NRF_3_RESC0402_M
CC3	6.92	-1.68	90.00	1pF	NORDIC_NRF_3_RESC0402_M
CC4	8.80	-1.71	90.00	1pF	NORDIC_NRF_3_RESC0402_M
CC5	-2.79	6.39	270.00	100nF	NORDIC_NRF_3_RESC0402_M
D1	10.01	-6.86	180.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D2	10.16	-4.66	0.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	10.70	-9.01	0.00	ESP32_C6_LIBRARY_5_MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D4	9.86	14.89	270.00	ESP32_C6_LIBRARY_3_USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
EPD_C1	-9.88	3.67	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C10	-9.69	-3.03	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C11	-9.67	-4.48	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C12	-9.83	-6.13	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C2	-9.89	5.37	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C5	-9.65	1.37	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C6	-9.60	-0.13	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C7	-9.68	-1.55	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C8	-14.47	-0.34	270.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
EPD_C9	-14.07	-3.58	90.00	1uF/50V	NORDIC_NRF_3_RESC0402_M
